id,name,slug,category,address,latitude,longitude,phone,director,working_hours
500,"""Qazax"" filialı",qazax-filiali,Filiallar,"AZ3500 S.Arıxov küç., Qazax, Azərbaycan",41.088779,45.354904,+994 22 2965600,Kazımov Elçin Sabir oğlu,Həftəiçi: 09:30-17:00
501,"""İsmayıllı"" filialı",ismayilli-filiali,Filiallar,"AZ3100 H.Əliyev pr.,97, İsmayıllı, Azərbaycan",40.791603,48.155460,+994 20 282 14 93,Mustafayev Sənani Musa oğlu,Həftəiçi: 09:30-17:00
502,"""Quba"" filialı",quba-filiali,Filiallar,"AZ 4000, 223-cü Atıcı diviziya küç., 21, Quba, Azərbaycan",41.362530,48.524834,+994 23 3364162,Rəhimov Səlim İbrahim oğlu,Həftəiçi: 09:30-17:00
503,"""Qusar"" filialı",qusar-filiali,Filiallar,"AZ 3800, F.Musayev küç.,68, Qusar, Azərbaycan",41.423927,48.426739,+994 23 3852472,Əsgərov Murad Dünyaməddin oğlu,Həftəiçi: 09:30-17:00
504,"""Şamaxı"" filialı",samaxi-filiali,Filiallar,"AZ5600 Şəhriyar küç.,1, Şamaxı, Azərbaycan",40.637798,48.636768,+994202650526,Babayev Orxan Namiq oğlu,Həftəiçi: 09:30-17:00
505,"""Şəki"" filialı",seki-filiali,Filiallar,"AZ 5500 M.Ə.Rəsulzadə pr.,169A, Şəki, Azərbaycan",41.202698,47.177700,+994 24 2440382,Mütəllibov Ramin Vahab oğlu,"Həftəiçi: 09:30-13:00, 14:00-17:00"
506,"""Lənkəran"" filialı",lenkeran-filiali,Filiallar,"AZ4200 Ş.Axundov küç.,20, Lənkəran, Azərbaycan",38.754158,48.855434,+994 25 2583079,Tağıyev Elnur Vaqif oğlu,Həftəiçi: 09:30-17:00
507,"""Şəmkir"" filialı",semkir-filiali,Filiallar,"AZ5700 H.Aslanov küç.,44, Şəmkir, Azərbaycan",40.833984,46.023399,+994 22 3030203; +994 22 3030204,Qaffarov Əsgər Kərim oğlu,Həftəiçi: 09:30-17:00
508,"""Şirvan"" filialı",sirvan-filiali,Filiallar,"AZ1801 H.Əliyev pr.,8, Şirvan, Azərbaycan",39.954517,48.936035,+994 21 2151615,Cəfərov Emin Vələddin oğlu,"Həftəiçi: 09:30-13:00, 14:00-17:00"
525,"""Sumqayıt"" filialı",sumqayit-filiali,Filiallar,"AZ5000 S.Vurğun küç.,16/132, 5-ci mkr , Sumqayıt, Azərbaycan",40.585751,49.684441,+994 18 6424120,Həsənov Anar Teymur oğlu,Həftəiçi: 09:30-17:00
509,"""Siyəzən"" filialı",siyezen-filiali,Filiallar,"AZ5300  H.Əliyev küç.88 B, Siyəzən, Azərbaycan",41.070374,49.116631,+994 23 3043215,Hümmətov Müslüm Mövsüm oğlu,Həftəiçi: 09:30-17:00
510,"""Tovuz"" filialı",tovuz-filiali,Filiallar,"AZ6000 H.Aslanov küç.,21, Tovuz, Azərbaycan",40.988838,45.618156,+994223123316,Kazımov Elçin Sabir oğlu,Həftəiçi: 09:30-17:00
511,"""Göyçay"" filialı",goycay-filiali,Filiallar,"AZ2300 H.Əliyev pr.,60, Göyçay, Azərbaycan",40.649593,47.746639,+994 20 2746206,Sadıqov Təbriz Mehman oğlu,Həftəiçi: 09:30-17:00
1959,1 saylı Mübadilə şöbəsi,1-sayli-mubadile-sobesi-az,Mübadilə şöbəsi,"Bakı şəh.,Səbail, ray.,Azadlıq pr.1B (Hilton Baku Hotel)",40.37210511482167,49.84967310634824,138,,Həftəiçi: Hər gün (10:00 - 20:00)
